년도,학교명,설립유형,지역명,입학정원,졸업생수,전임교원수,재학생,신입생경쟁률,신입생충원율,취업률,외국인학생수,전임교원1인당학생수,전임교원확보율,전임교원강의담당비율,학생1인당연간장학금,연평균등록금,학생1인당교육비,기숙사수용율,학생1인당도서자료수
2022,조선대학교,사립,광주,4367 ,4489 ,785 ,18341 ,5.3 ,99.6 ,56.8 ,361 ,27.16 ,77.65 ,73.8 ,3377054.8 ,7103.7 ,13693.0 ,12.7 ,70.4 
2022,중부대학교,사립,충남,1945 ,1665 ,297 ,7262 ,6.9 ,87.8 ,67.8 ,604 ,28.91 ,78.99 ,72.8 ,3791976.3 ,7239.6 ,9628.6 ,22.7 ,74.0 
2022,중앙대학교-제2캠퍼스,사립,경기,1208 ,1147 ,155 ,4965 ,8.0 ,99.8 ,69.1 ,838 ,36.35 ,56.36 ,36.5 ,3728192.5 ,8693.1 ,0.0 ,38.9 ,0.0 
2022,중앙대학교,사립,서울,3250 ,4879 ,969 ,18110 ,23.4 ,99.5 ,70.3 ,2616 ,21.72 ,80.02 ,69.3 ,3038468.6 ,7907.4 ,16068.8 ,12.9 ,78.6 
2022,중앙승가대학교,사립,경기,120 ,34 ,18 ,102 ,0.2 ,15.8 ,0.0 ,1 ,34.17 ,225.00 ,72.1 ,2007422.1 ,1760.0 ,22934.4 ,194.5 ,478.4 
2022,중원대학교,사립,충북,921 ,730 ,144 ,3590 ,3.0 ,84.0 ,69.3 ,47 ,26.64 ,75.00 ,73.2 ,4299912.5 ,7465.7 ,11007.6 ,82.0 ,51.9 
2022,차의과학대학교,사립,경기,504 ,552 ,473 ,2227 ,7.8 ,100.0 ,69.9 ,2 ,8.13 ,198.74 ,47.3 ,3792292.1 ,7140.8 ,33746.2 ,23.3 ,32.3 
2022,창신대학교,사립,경남,325 ,464 ,83 ,1658 ,9.4 ,100.0 ,67.8 ,192 ,26.27 ,88.30 ,63.0 ,4670582.0 ,6418.0 ,12858.4 ,52.0 ,77.5 
2022,창원대학교,국립,경남,1754 ,1820 ,346 ,7401 ,5.5 ,98.7 ,57.0 ,280 ,28.58 ,81.71 ,60.1 ,2725561.6 ,3894.1 ,17564.9 ,27.2 ,82.1 
2022,청주대학교,사립,충북,2652 ,2497 ,367 ,10582 ,5.3 ,99.6 ,66.0 ,374 ,31.16 ,68.47 ,72.5 ,3400210.2 ,7619.5 ,11438.4 ,21.3 ,114.1 
2022,초당대학교,사립,전남,752 ,688 ,119 ,3206 ,4.1 ,99.7 ,73.4 ,419 ,26.53 ,75.32 ,77.5 ,3783844.1 ,6639.1 ,11061.9 ,37.4 ,110.2 
